Q1_Age,Q2_Gender,Q3_Education,Q4_LifeSatisfaction,Q5_CarOwnership,Q6_IncomeLevel,Q7_Employed,Q8_MaritalStatus,Q9_HomeOwner,Q10_HoursWorkedPerWeek,Q11_OE_Neighborhood,Q12_OE_FutureConcerns,Q13_OE_CustomerExperience,Q14_OE_WorkMotivation,Q15_OE_AdditionalComments,Neighborhood_Sentiment,FutureConcern_Sentiment
22,Female,Primary,7,No,12698,Yes,Divorced,Yes,72,noice is low and evryone frendly,healthcare getin worse,i calld support they sloved fast,i lov my job and coworkers,good luck with reserch,0.0,-0.4
65,Female,Tertiary,8,No,62770,No,Divorced,Yes,29,green trees n cleen airr,war n unestability,got discount witout askin,my kidss and faimly,this survery was long,-0.2,0.0
26,Female,Tertiary,6,No,10640,No,Divorced,Yes,70,green trees n cleen airr,healthcare getin worse,shop asistnt smild n said thankyou,"money, and boss apriciashun",no commnts,-0.2,-0.4
23,Male,Secondary,8,No,17841,Yes,Single,Yes,43,noice is low and evryone frendly,healthcare getin worse,great expiriense at restaurent,"money, and boss apriciashun",no commnts,0.0,-0.4
68,Male,Tertiary,3,No,66309,No,Widowed,Yes,31,i lik the quite and neghbours,i worrie bout kids educasion,got discount witout askin,my kidss and faimly,good luck with reserch,0.0,0.0
42,Other,Tertiary,6,Yes,66088,No,Single,Yes,77,noice is low and evryone frendly,healthcare getin worse,i calld support they sloved fast,my kidss and faimly,thank u for lettin me say,0.0,-0.4
43,Other,Tertiary,10,No,26246,No,Single,No,53,i lik the quite and neghbours,climate chang and job loss,i calld support they sloved fast,"goals keep me going, even when tired",thank u for lettin me say,0.0,0.0
38,Female,Primary,4,Yes,43929,No,Single,Yes,24,green trees n cleen airr,healthcare getin worse,i calld support they sloved fast,"money, and boss apriciashun",thank u for lettin me say,-0.2,-0.4
62,Other,Secondary,8,No,47759,Yes,Divorced,Yes,14,i dnt lik dogs barking but shops close by,war n unestability,the ladie at bank was reely helpfull,"money, and boss apriciashun",pls fix typos in u r questions,0.0,0.0
39,Male,Primary,3,Yes,39810,No,Divorced,No,38,noice is low and evryone frendly,healthcare getin worse,shop asistnt smild n said thankyou,just need to suceed,pls fix typos in u r questions,0.0,-0.4
38,Other,Secondary,1,Yes,68149,Yes,Married,No,62,its saf and pecefull,war n unestability,i calld support they sloved fast,"goals keep me going, even when tired",no commnts,0.0,0.0
38,Male,Primary,10,Yes,42606,No,Widowed,Yes,40,noice is low and evryone frendly,healthcare getin worse,shop asistnt smild n said thankyou,"goals keep me going, even when tired",thank u for lettin me say,0.0,-0.4
50,Male,Secondary,8,Yes,22311,No,Single,Yes,17,its saf and pecefull,no money to save fo future,got discount witout askin,"money, and boss apriciashun",no commnts,0.0,0.0
34,Male,Secondary,7,No,90502,No,Widowed,Yes,7,noice is low and evryone frendly,i worrie bout kids educasion,shop asistnt smild n said thankyou,"money, and boss apriciashun",pls fix typos in u r questions,0.0,0.0
51,Female,Secondary,5,No,18555,Yes,Single,No,35,green trees n cleen airr,healthcare getin worse,the ladie at bank was reely helpfull,"goals keep me going, even when tired",thank u for lettin me say,-0.2,-0.4
66,Female,Secondary,2,Yes,55502,No,Married,Yes,24,green trees n cleen airr,no money to save fo future,shop asistnt smild n said thankyou,"money, and boss apriciashun",good luck with reserch,-0.2,0.0
25,Female,Secondary,6,Yes,40841,Yes,Married,Yes,50,i lik the quite and neghbours,climate chang and job loss,great expiriense at restaurent,my kidss and faimly,no commnts,0.0,0.0
49,Male,Primary,5,Yes,27455,No,Married,No,57,noice is low and evryone frendly,war n unestability,the ladie at bank was reely helpfull,just need to suceed,pls fix typos in u r questions,0.0,0.0
22,Male,Tertiary,9,Yes,42463,No,Married,Yes,72,i dnt lik dogs barking but shops close by,i worrie bout kids educasion,i calld support they sloved fast,just need to suceed,this survery was long,0.0,0.0
64,Female,Tertiary,5,Yes,12959,Yes,Widowed,Yes,51,its saf and pecefull,i worrie bout kids educasion,shop asistnt smild n said thankyou,my kidss and faimly,pls fix typos in u r questions,0.0,0.0
34,Female,Tertiary,10,Yes,77552,Yes,Single,No,72,noice is low and evryone frendly,i worrie bout kids educasion,great expiriense at restaurent,my kidss and faimly,thank u for lettin me say,0.0,0.0
63,Male,Tertiary,9,Yes,95218,Yes,Single,No,9,i lik the quite and neghbours,i worrie bout kids educasion,great expiriense at restaurent,"money, and boss apriciashun",thank u for lettin me say,0.0,0.0
32,Other,Tertiary,4,Yes,94362,No,Widowed,No,72,its saf and pecefull,healthcare getin worse,great expiriense at restaurent,"money, and boss apriciashun",good luck with reserch,0.0,-0.4
45,Male,Primary,3,No,81860,No,Widowed,No,7,i lik the quite and neghbours,climate chang and job loss,got discount witout askin,i lov my job and coworkers,no commnts,0.0,0.0
69,Male,Tertiary,3,Yes,19362,No,Divorced,Yes,61,green trees n cleen airr,i worrie bout kids educasion,shop asistnt smild n said thankyou,just need to suceed,this survery was long,-0.2,0.0
34,Male,Primary,4,No,74124,No,Married,Yes,13,green trees n cleen airr,climate chang and job loss,shop asistnt smild n said thankyou,"money, and boss apriciashun",no commnts,-0.2,0.0
54,Other,Primary,1,No,19429,Yes,Married,No,31,i lik the quite and neghbours,no money to save fo future,got discount witout askin,just need to suceed,this survery was long,0.0,0.0
38,Male,Tertiary,6,Yes,68197,No,Married,Yes,77,green trees n cleen airr,climate chang and job loss,the ladie at bank was reely helpfull,i lov my job and coworkers,this survery was long,-0.2,0.0
53,Other,Tertiary,7,Yes,19095,No,Widowed,No,16,noice is low and evryone frendly,healthcare getin worse,great expiriense at restaurent,"money, and boss apriciashun",no commnts,0.0,-0.4
36,Female,Tertiary,5,Yes,27285,Yes,Divorced,Yes,19,i dnt lik dogs barking but shops close by,climate chang and job loss,shop asistnt smild n said thankyou,"money, and boss apriciashun",pls fix typos in u r questions,0.0,0.0
28,Female,Secondary,4,No,98135,Yes,Divorced,No,44,its saf and pecefull,i worrie bout kids educasion,the ladie at bank was reely helpfull,"money, and boss apriciashun",no commnts,0.0,0.0
30,Female,Secondary,6,No,14893,Yes,Married,No,10,noice is low and evryone frendly,i worrie bout kids educasion,shop asistnt smild n said thankyou,"goals keep me going, even when tired",no commnts,0.0,0.0
40,Other,Tertiary,5,Yes,36683,No,Widowed,No,2,its saf and pecefull,healthcare getin worse,i calld support they sloved fast,my kidss and faimly,this survery was long,0.0,-0.4
18,Other,Tertiary,3,No,37023,No,Married,Yes,28,i lik the quite and neghbours,healthcare getin worse,great expiriense at restaurent,i lov my job and coworkers,pls fix typos in u r questions,0.0,-0.4
37,Other,Primary,6,Yes,80100,Yes,Single,Yes,79,i lik the quite and neghbours,no money to save fo future,the ladie at bank was reely helpfull,just need to suceed,good luck with reserch,0.0,0.0
33,Female,Secondary,3,Yes,16073,No,Widowed,No,10,i lik the quite and neghbours,war n unestability,the ladie at bank was reely helpfull,"goals keep me going, even when tired",this survery was long,0.0,0.0
18,Female,Secondary,6,No,83653,No,Divorced,No,70,noice is low and evryone frendly,no money to save fo future,great expiriense at restaurent,my kidss and faimly,no commnts,0.0,0.0
35,Other,Primary,5,Yes,99446,Yes,Single,No,39,noice is low and evryone frendly,war n unestability,great expiriense at restaurent,just need to suceed,good luck with reserch,0.0,0.0
33,Other,Primary,7,Yes,87195,No,Married,No,65,noice is low and evryone frendly,war n unestability,i calld support they sloved fast,"money, and boss apriciashun",this survery was long,0.0,0.0
66,Other,Tertiary,10,No,15288,No,Married,Yes,41,green trees n cleen airr,climate chang and job loss,shop asistnt smild n said thankyou,my kidss and faimly,no commnts,-0.2,0.0
24,Other,Tertiary,4,No,96587,No,Married,Yes,46,i dnt lik dogs barking but shops close by,no money to save fo future,great expiriense at restaurent,"goals keep me going, even when tired",pls fix typos in u r questions,0.0,0.0
60,Female,Secondary,8,No,85102,No,Widowed,Yes,34,i lik the quite and neghbours,war n unestability,got discount witout askin,my kidss and faimly,thank u for lettin me say,0.0,0.0
56,Female,Secondary,4,No,12241,Yes,Single,No,58,noice is low and evryone frendly,healthcare getin worse,the ladie at bank was reely helpfull,"goals keep me going, even when tired",pls fix typos in u r questions,0.0,-0.4
23,Female,Tertiary,9,No,94000,Yes,Married,No,78,i dnt lik dogs barking but shops close by,no money to save fo future,got discount witout askin,just need to suceed,pls fix typos in u r questions,0.0,0.0
66,Male,Primary,6,No,42264,Yes,Married,No,72,green trees n cleen airr,no money to save fo future,i calld support they sloved fast,my kidss and faimly,thank u for lettin me say,-0.2,0.0
45,Female,Tertiary,1,No,19831,No,Single,Yes,5,noice is low and evryone frendly,climate chang and job loss,shop asistnt smild n said thankyou,"money, and boss apriciashun",good luck with reserch,0.0,0.0
51,Female,Tertiary,7,Yes,77373,No,Widowed,No,47,noice is low and evryone frendly,i worrie bout kids educasion,shop asistnt smild n said thankyou,"goals keep me going, even when tired",this survery was long,0.0,0.0
21,Male,Secondary,8,Yes,52887,Yes,Single,Yes,32,i dnt lik dogs barking but shops close by,war n unestability,got discount witout askin,"money, and boss apriciashun",no commnts,0.0,0.0
42,Female,Primary,10,Yes,18774,No,Single,No,3,green trees n cleen airr,climate chang and job loss,got discount witout askin,"goals keep me going, even when tired",no commnts,-0.2,0.0
21,Female,Primary,4,No,84697,No,Divorced,No,73,noice is low and evryone frendly,healthcare getin worse,got discount witout askin,my kidss and faimly,good luck with reserch,0.0,-0.4
27,Other,Primary,1,No,65972,Yes,Divorced,No,1,noice is low and evryone frendly,war n unestability,i calld support they sloved fast,my kidss and faimly,this survery was long,0.0,0.0
38,Other,Secondary,10,Yes,82130,No,Widowed,Yes,58,its saf and pecefull,war n unestability,the ladie at bank was reely helpfull,my kidss and faimly,no commnts,0.0,0.0
61,Other,Primary,2,No,59633,No,Divorced,Yes,69,i lik the quite and neghbours,i worrie bout kids educasion,the ladie at bank was reely helpfull,i lov my job and coworkers,good luck with reserch,0.0,0.0
