Q1_Age,Q2_Gender,Q3_Education,Q4_LifeSatisfaction,Q5_CarOwnership,Q6_IncomeLevel,Q7_Employed,Q8_MaritalStatus,Q9_HomeOwner,Q10_HoursWorkedPerWeek,Q11_OE_Neighborhood,Q12_OE_FutureConcerns,Q13_OE_CustomerExperience,Q14_OE_WorkMotivation,Q15_OE_AdditionalComments
22,Female,Primry,7,No,12698,Yes,Divorced,Yes,72,noice is low and evryone frendly,healthcare getin worse,i calld support they sloved fast,i lov my job and coworkers,good luck with reserch
65,Female,Tertary,8,No,62770,No,Divorced,Yes,29,green trees n cleen airr,war n unestability,got discount witout askin,my kidss and faimly,this survery was long
26,Female,Tertary,6,No,10640,No,Divorced,Yes,70,green trees n cleen airr,healthcare getin worse,shop asistnt smild n said thankyou,"money, and boss apriciashun",no commnts
23,Male,Secndary,8,No,17841,Yes,Single,Yes,43,noice is low and evryone frendly,healthcare getin worse,great expiriense at restaurent,"money, and boss apriciashun",no commnts
68,Male,Tertary,3,No,66309,No,Widowd,Yes,31,i lik the quite and neghbours,i worrie bout kids educasion,got discount witout askin,my kidss and faimly,good luck with reserch
42,Other,Tertary,6,Yes,66088,No,Single,Yes,77,noice is low and evryone frendly,healthcare getin worse,i calld support they sloved fast,my kidss and faimly,thank u for lettin me say
43,Other,Tertary,10,No,26246,No,Single,No,53,i lik the quite and neghbours,climate chang and job loss,i calld support they sloved fast,"goals keep me going, even when tired",thank u for lettin me say
38,Female,Primry,4,Yes,43929,No,Single,Yes,24,green trees n cleen airr,healthcare getin worse,i calld support they sloved fast,"money, and boss apriciashun",thank u for lettin me say
62,Other,Secndary,8,No,47759,Yes,Divorced,Yes,14,i dnt lik dogs barking but shops close by,war n unestability,the ladie at bank was reely helpfull,"money, and boss apriciashun",pls fix typos in u r questions
39,Male,Primry,3,Yes,39810,No,Divorced,No,38,noice is low and evryone frendly,healthcare getin worse,shop asistnt smild n said thankyou,just need to suceed,pls fix typos in u r questions
38,Other,Secndary,1,Yes,68149,Yes,Marrid,No,62,its saf and pecefull,war n unestability,i calld support they sloved fast,"goals keep me going, even when tired",no commnts
38,Male,Primry,10,Yes,42606,No,Widowd,Yes,40,noice is low and evryone frendly,healthcare getin worse,shop asistnt smild n said thankyou,"goals keep me going, even when tired",thank u for lettin me say
50,Male,Secndary,8,Yes,22311,No,Single,Yes,17,its saf and pecefull,no money to save fo future,got discount witout askin,"money, and boss apriciashun",no commnts
34,Male,Secndary,7,No,90502,No,Widowd,Yes,7,noice is low and evryone frendly,i worrie bout kids educasion,shop asistnt smild n said thankyou,"money, and boss apriciashun",pls fix typos in u r questions
51,Female,Secndary,5,No,18555,Yes,Single,No,35,green trees n cleen airr,healthcare getin worse,the ladie at bank was reely helpfull,"goals keep me going, even when tired",thank u for lettin me say
66,Female,Secndary,2,Yes,55502,No,Marrid,Yes,24,green trees n cleen airr,no money to save fo future,shop asistnt smild n said thankyou,"money, and boss apriciashun",good luck with reserch
25,Female,Secndary,6,Yes,40841,Yes,Marrid,Yes,50,i lik the quite and neghbours,climate chang and job loss,great expiriense at restaurent,my kidss and faimly,no commnts
49,Male,Primry,5,Yes,27455,No,Marrid,No,57,noice is low and evryone frendly,war n unestability,the ladie at bank was reely helpfull,just need to suceed,pls fix typos in u r questions
22,Male,Tertary,9,Yes,42463,No,Marrid,Yes,72,i dnt lik dogs barking but shops close by,i worrie bout kids educasion,i calld support they sloved fast,just need to suceed,this survery was long
64,Female,Tertary,5,Yes,12959,Yes,Widowd,Yes,51,its saf and pecefull,i worrie bout kids educasion,shop asistnt smild n said thankyou,my kidss and faimly,pls fix typos in u r questions
34,Female,Tertary,10,Yes,77552,Yes,Single,No,72,noice is low and evryone frendly,i worrie bout kids educasion,great expiriense at restaurent,my kidss and faimly,thank u for lettin me say
63,Male,Tertary,9,Yes,95218,Yes,Single,No,9,i lik the quite and neghbours,i worrie bout kids educasion,great expiriense at restaurent,"money, and boss apriciashun",thank u for lettin me say
32,Other,Tertary,4,Yes,94362,No,Widowd,No,72,its saf and pecefull,healthcare getin worse,great expiriense at restaurent,"money, and boss apriciashun",good luck with reserch
45,Male,Primry,3,No,81860,No,Widowd,No,7,i lik the quite and neghbours,climate chang and job loss,got discount witout askin,i lov my job and coworkers,no commnts
69,Male,Tertary,3,Yes,19362,No,Divorced,Yes,61,green trees n cleen airr,i worrie bout kids educasion,shop asistnt smild n said thankyou,just need to suceed,this survery was long
34,Male,Primry,4,No,74124,No,Marrid,Yes,13,green trees n cleen airr,climate chang and job loss,shop asistnt smild n said thankyou,"money, and boss apriciashun",no commnts
54,Other,Primry,1,No,19429,Yes,Marrid,No,31,i lik the quite and neghbours,no money to save fo future,got discount witout askin,just need to suceed,this survery was long
38,Male,Tertary,6,Yes,68197,No,Marrid,Yes,77,green trees n cleen airr,climate chang and job loss,the ladie at bank was reely helpfull,i lov my job and coworkers,this survery was long
53,Other,Tertary,7,Yes,19095,No,Widowd,No,16,noice is low and evryone frendly,healthcare getin worse,great expiriense at restaurent,"money, and boss apriciashun",no commnts
36,Female,Tertary,5,Yes,27285,Yes,Divorced,Yes,19,i dnt lik dogs barking but shops close by,climate chang and job loss,shop asistnt smild n said thankyou,"money, and boss apriciashun",pls fix typos in u r questions
28,Female,Secndary,4,No,98135,Yes,Divorced,No,44,its saf and pecefull,i worrie bout kids educasion,the ladie at bank was reely helpfull,"money, and boss apriciashun",no commnts
30,Female,Secndary,6,No,14893,Yes,Marrid,No,10,noice is low and evryone frendly,i worrie bout kids educasion,shop asistnt smild n said thankyou,"goals keep me going, even when tired",no commnts
40,Other,Tertary,5,Yes,36683,No,Widowd,No,2,its saf and pecefull,healthcare getin worse,i calld support they sloved fast,my kidss and faimly,this survery was long
18,Other,Tertary,3,No,37023,No,Marrid,Yes,28,i lik the quite and neghbours,healthcare getin worse,great expiriense at restaurent,i lov my job and coworkers,pls fix typos in u r questions
37,Other,Primry,6,Yes,80100,Yes,Single,Yes,79,i lik the quite and neghbours,no money to save fo future,the ladie at bank was reely helpfull,just need to suceed,good luck with reserch
33,Female,Secndary,3,Yes,16073,No,Widowd,No,10,i lik the quite and neghbours,war n unestability,the ladie at bank was reely helpfull,"goals keep me going, even when tired",this survery was long
18,Female,Secndary,6,No,83653,No,Divorced,No,70,noice is low and evryone frendly,no money to save fo future,great expiriense at restaurent,my kidss and faimly,no commnts
35,Other,Primry,5,Yes,99446,Yes,Single,No,39,noice is low and evryone frendly,war n unestability,great expiriense at restaurent,just need to suceed,good luck with reserch
33,Other,Primry,7,Yes,87195,No,Marrid,No,65,noice is low and evryone frendly,war n unestability,i calld support they sloved fast,"money, and boss apriciashun",this survery was long
66,Other,Tertary,10,No,15288,No,Marrid,Yes,41,green trees n cleen airr,climate chang and job loss,shop asistnt smild n said thankyou,my kidss and faimly,no commnts
